"pitch","pitch.name","alphabet","sharp_flat"
0,"A","A",""
2,"B","B",""
3,"C","C",""
5,"D","D",""
7,"E","E",""
8,"F","F",""
10,"G","G",""
12,"A","A",""
14,"B","B",""
15,"C","C",""
17,"D","D",""
19,"E","E",""
20,"F","F",""
22,"G","G",""
24,"A","A",""
26,"B","B",""
27,"C","C",""
29,"D","D",""
31,"E","E",""
32,"F","F",""
34,"G","G",""
36,"A","A",""
38,"B","B",""
39,"C","C",""
41,"D","D",""
43,"E","E",""
44,"F","F",""
46,"G","G",""
48,"A","A",""
50,"B","B",""
51,"C","C",""
53,"D","D",""
55,"E","E",""
56,"F","F",""
58,"G","G",""
60,"A","A",""
62,"B","B",""
63,"C","C",""
65,"D","D",""
67,"E","E",""
68,"F","F",""
70,"G","G",""
72,"A","A",""
74,"B","B",""
75,"C","C",""
77,"D","D",""
79,"E","E",""
80,"F","F",""
82,"G","G",""
84,"A","A",""
86,"B","B",""
87,"C","C",""
1,"A#","A","#"
3,"B#","B","#"
4,"C#","C","#"
6,"D#","D","#"
8,"E#","E","#"
9,"F#","F","#"
11,"G#","G","#"
13,"A#","A","#"
15,"B#","B","#"
16,"C#","C","#"
18,"D#","D","#"
20,"E#","E","#"
21,"F#","F","#"
23,"G#","G","#"
25,"A#","A","#"
27,"B#","B","#"
28,"C#","C","#"
30,"D#","D","#"
32,"E#","E","#"
33,"F#","F","#"
35,"G#","G","#"
37,"A#","A","#"
39,"B#","B","#"
40,"C#","C","#"
42,"D#","D","#"
44,"E#","E","#"
45,"F#","F","#"
47,"G#","G","#"
49,"A#","A","#"
51,"B#","B","#"
52,"C#","C","#"
54,"D#","D","#"
56,"E#","E","#"
57,"F#","F","#"
59,"G#","G","#"
61,"A#","A","#"
63,"B#","B","#"
64,"C#","C","#"
66,"D#","D","#"
68,"E#","E","#"
69,"F#","F","#"
71,"G#","G","#"
73,"A#","A","#"
75,"B#","B","#"
76,"C#","C","#"
78,"D#","D","#"
80,"E#","E","#"
81,"F#","F","#"
83,"G#","G","#"
85,"A#","A","#"
87,"B#","B","#"
0,"Bb","B","b"
1,"Cb","C","b"
3,"Db","D","b"
5,"Eb","E","b"
6,"Fb","F","b"
8,"Gb","G","b"
10,"Ab","A","b"
12,"Bb","B","b"
13,"Cb","C","b"
15,"Db","D","b"
17,"Eb","E","b"
18,"Fb","F","b"
20,"Gb","G","b"
22,"Ab","A","b"
24,"Bb","B","b"
25,"Cb","C","b"
27,"Db","D","b"
29,"Eb","E","b"
30,"Fb","F","b"
32,"Gb","G","b"
34,"Ab","A","b"
36,"Bb","B","b"
37,"Cb","C","b"
39,"Db","D","b"
41,"Eb","E","b"
42,"Fb","F","b"
44,"Gb","G","b"
46,"Ab","A","b"
48,"Bb","B","b"
49,"Cb","C","b"
51,"Db","D","b"
53,"Eb","E","b"
54,"Fb","F","b"
56,"Gb","G","b"
58,"Ab","A","b"
60,"Bb","B","b"
61,"Cb","C","b"
63,"Db","D","b"
65,"Eb","E","b"
66,"Fb","F","b"
68,"Gb","G","b"
70,"Ab","A","b"
72,"Bb","B","b"
73,"Cb","C","b"
75,"Db","D","b"
77,"Eb","E","b"
78,"Fb","F","b"
80,"Gb","G","b"
82,"Ab","A","b"
84,"Bb","B","b"
85,"Cb","C","b"
1,"A#","A","#"
3,"B#","B","#"
4,"C#","C","#"
6,"D#","D","#"
8,"E#","E","#"
9,"F#","F","#"
11,"G#","G","#"
13,"A#","A","#"
15,"B#","B","#"
16,"C#","C","#"
18,"D#","D","#"
20,"E#","E","#"
21,"F#","F","#"
23,"G#","G","#"
25,"A#","A","#"
27,"B#","B","#"
28,"C#","C","#"
30,"D#","D","#"
32,"E#","E","#"
33,"F#","F","#"
35,"G#","G","#"
37,"A#","A","#"
39,"B#","B","#"
40,"C#","C","#"
42,"D#","D","#"
44,"E#","E","#"
45,"F#","F","#"
47,"G#","G","#"
49,"A#","A","#"
51,"B#","B","#"
52,"C#","C","#"
54,"D#","D","#"
56,"E#","E","#"
57,"F#","F","#"
59,"G#","G","#"
61,"A#","A","#"
63,"B#","B","#"
64,"C#","C","#"
66,"D#","D","#"
68,"E#","E","#"
69,"F#","F","#"
71,"G#","G","#"
73,"A#","A","#"
75,"B#","B","#"
76,"C#","C","#"
78,"D#","D","#"
80,"E#","E","#"
81,"F#","F","#"
83,"G#","G","#"
85,"A#","A","#"
87,"B#","B","#"
0,"Bb","B","b"
1,"Cb","C","b"
3,"Db","D","b"
5,"Eb","E","b"
6,"Fb","F","b"
8,"Gb","G","b"
10,"Ab","A","b"
12,"Bb","B","b"
13,"Cb","C","b"
15,"Db","D","b"
17,"Eb","E","b"
18,"Fb","F","b"
20,"Gb","G","b"
22,"Ab","A","b"
24,"Bb","B","b"
25,"Cb","C","b"
27,"Db","D","b"
29,"Eb","E","b"
30,"Fb","F","b"
32,"Gb","G","b"
34,"Ab","A","b"
36,"Bb","B","b"
37,"Cb","C","b"
39,"Db","D","b"
41,"Eb","E","b"
42,"Fb","F","b"
44,"Gb","G","b"
46,"Ab","A","b"
48,"Bb","B","b"
49,"Cb","C","b"
51,"Db","D","b"
53,"Eb","E","b"
54,"Fb","F","b"
56,"Gb","G","b"
58,"Ab","A","b"
60,"Bb","B","b"
61,"Cb","C","b"
63,"Db","D","b"
65,"Eb","E","b"
66,"Fb","F","b"
68,"Gb","G","b"
70,"Ab","A","b"
72,"Bb","B","b"
73,"Cb","C","b"
75,"Db","D","b"
77,"Eb","E","b"
78,"Fb","F","b"
80,"Gb","G","b"
82,"Ab","A","b"
84,"Bb","B","b"
85,"Cb","C","b"
