"root","2nd","3rd","4th","5th","6th","7th"
"Cb","Db","Eb","Fb","Gb","Ab","Bb"
"Gb","Ab","Bb","Cb","Db","Eb","F"
"Db","Eb","F","Gb","Ab","Bb","C"
"Ab","Bb","C","Db","Eb","F","G"
"Eb","F","G","Ab","Bb","C","D"
"Bb","C","D","Eb","F","G","A"
"F","G","A","Bb","C","D","E"
"C","D","E","F","G","A","B"
"G","A","B","C","D","E","F#"
"D","E","F#","G","A","B","C#"
"A","B","C#","D","E","F#","G#"
"E","F#","G#","A","B","C#","D#"
"B","C#","D#","E","F#","G#","A#"
"F#","G#","A#","B","C#","D#","E#"
"C#","D#","E#","F#","G#","A#","B#"
